,Building_Age,DwellingTypeDescr,TotalFloorArea,Building_Volume,NoStoreys,ThermalBridgingFactor,GroundFloorArea,FirstFloorArea,SecondFloorArea,ThirdFloorArea,GroundFloorHeight,FirstFloorHeight,SecondFloorHeight,ThirdFloorHeight,UValueWall,UValueRoof,UValueFloor,UValueWindow,UvalueDoor,HSMainSystemEfficiency,MainSpaceHeatingFuel,MainWaterHeatingFuel,WHMainSystemEff,HSEffAdjFactor,HeatExchangerEff,PermeabilityTestResult,NoOfChimneys,NoOfFansAndVents,DraftLobby,VentilationMethod,BerRating,CO2Rating,LowEnergyLightingPercent,DeliveredLightingEnergy,DeliveredEnergyPumpsFans,Energy_Consumption_kWhm2
Building_Age,1.0,-0.057028630552233166,-0.10530960368564854,-0.10315727090537152,-0.010881745403981034,0.3445027218041648,-0.05082388574259057,-0.10391931131623808,-0.052085913998582194,0.008719427974709074,0.01903795671092031,-0.0118897143466317,-0.03947847677944418,0.025871842248703533,0.6470160362427659,0.5199555683071796,0.5989542983338644,0.4599829724514846,0.15556341436201104,-0.27034101401134025,0.14217207136303742,0.12708603135737154,-0.2704529619786623,-0.1630359770423066,-0.18973290759370218,-0.2344830098214246,0.3070532677300489,-0.2402307994214523,-0.037665755653795104,-0.06767031093912351,0.6164004068953075,0.5697307875491293,-0.08553837352137704,0.03224031081563437,0.05773562030014169,0.001385136649012891
DwellingTypeDescr,-0.057028630552233166,1.0,-0.36457106855036403,-0.34526859048321223,0.1437329983462085,-0.06360964464034229,-0.494921150723155,-0.017794682065969018,0.0184822090517092,-0.006842445316800817,-0.09541633713138128,0.21004326645365168,0.04278235423290147,-0.016031054495853406,0.021598271306834935,-0.004498520872040219,-0.2048764256384739,-0.03184477166838179,-0.10482801665594735,0.014102439013368965,0.045456355103986296,0.044173159651768455,0.01940248605494542,0.09326012395331,-0.015904017312903713,0.048903783925355014,-0.09800932356726745,0.042250481824504305,0.047325849383671695,0.05511668704030912,-0.06489797959494445,-0.10718394371219583,0.025915621622238386,-0.2732799012834279,-0.14119622372171886,0.01440534665331017
TotalFloorArea,-0.10530960368564854,-0.36457106855036403,1.0,0.9842044452230997,0.3490883412376394,-0.07621912259987204,0.7691630666863856,0.6790686914336962,0.2516131225581698,0.08911017469624116,0.15318344546461488,0.2947669858035025,0.18195423074623673,0.06822095262806896,-0.12238034980803536,-0.0011932815051630351,-0.022798595267182725,-0.13075227350093965,0.1073145353920458,0.12106836424595815,-0.020759869115006272,-0.020498065854567326,0.1100224370358005,-0.07184091085769752,0.1268330124783888,0.07434883745420322,0.1832029782639212,0.15436444513930636,-0.14841601748201855,-0.06107279338869186,-0.2651070952076666,-0.20876670069185416,0.009772590520369152,0.6495203186698625,0.26375791814007365,-0.027221407898145374
Building_Volume,-0.10315727090537152,-0.34526859048321223,0.9842044452230997,1.0,0.34577196893559675,-0.09278265361562868,0.747614769953513,0.6756488936382652,0.2583991135686307,0.09540180357835397,0.23242898891620828,0.30918084512640015,0.18755689383643162,0.075280070445171,-0.11807621524385081,-0.0016597196609411872,-0.03502730405460559,-0.13948352665764607,0.09462905127661665,0.13735403217946107,-0.027207069090284173,-0.027056648047622495,0.12548054445913698,-0.059008897906487,0.1416492188616442,0.08545182395560812,0.18192409869202544,0.15011789968877431,-0.1431500475671023,-0.059660006990663934,-0.2597408084909689,-0.20675560463899623,0.01192075684162318,0.6322086763974153,0.26159678856533297,-0.02572828206928898
NoStoreys,-0.010881745403981034,0.1437329983462085,0.3490883412376394,0.34577196893559675,1.0,-0.10060756601395045,-0.1659212058962532,0.6877142457595461,0.38261967140893727,0.034097564319399594,0.030379862612174686,0.8273761302239137,0.4356409153107698,0.04779636454475365,-0.006320443307124381,0.13401709174480542,0.09970876325076704,-0.06255445603216908,0.14880727471063449,0.060129697474012506,0.15644031772457823,0.14757595572644444,0.04317533670407026,-0.02253291931418833,0.011119910887654605,0.10887183979514285,0.13417391423863484,0.13643738815469175,-0.353203300200581,0.04238235542940039,-0.19310510967287262,-0.1898963252774026,0.027546929719949067,0.23687100679900036,0.12426882902300233,-0.017175878587192155
ThermalBridgingFactor,0.3445027218041648,-0.06360964464034229,-0.07621912259987204,-0.09278265361562868,-0.10060756601395045,1.0,0.021897467916463114,-0.12641125035304523,-0.11116428893249994,0.009836989999718304,-0.07373521153136864,-0.11454785951743769,-0.1106381380423999,0.014514740728223268,0.2696787335214547,0.15921053422897055,0.380456239807514,0.5028064029870959,0.2932448478520207,-0.45184456217812774,0.12364238734838345,0.12091402311196713,-0.4370165060062078,-0.2524082772343084,-0.3361288254427845,-0.5611465345173531,0.23790934919971085,-0.010502173907200877,0.026379796959487126,-0.21048541250374342,0.41739852256784005,0.37658785141682216,-0.20396339359542276,0.1399311474692831,0.031069704068456758,0.004326753183417852
GroundFloorArea,-0.05082388574259057,-0.494921150723155,0.7691630666863856,0.747614769953513,-0.1659212058962532,0.021897467916463114,1.0,0.09712707988055934,-0.04013304471631069,-0.01476667436028165,0.2361091488259849,-0.2594796936232499,-0.07711842118078044,-0.010552324968968059,-0.09673540553864123,-0.03221845239164893,-0.015417549942847027,-0.05928869922800481,0.059855569013398786,0.049092008029981975,-0.071533166110374,-0.06726319617576783,0.045883135649243505,-0.10061965386074596,0.09340942458406123,-0.017630043852422856,0.1400922417796849,0.06058885104691951,0.011570985270434146,-0.09030962403311268,-0.13277233734412422,-0.07382530581369573,-0.023243296000554785,0.5396785073516123,0.2131512065404784,-0.024147941994950937
FirstFloorArea,-0.10391931131623808,-0.017794682065969018,0.6790686914336962,0.6756488936382652,0.6877142457595461,-0.12641125035304523,0.09712707988055934,1.0,0.16772149281040652,0.001687247334750077,0.017169309620786367,0.7955768934620366,0.13477080578682468,0.013648140734794395,-0.07756577812230243,0.03255866933775403,0.008207018244996658,-0.12543733153138922,0.1193963990637275,0.12733779146843097,0.05852696312251773,0.05413881340746208,0.11116915082115873,-0.014799312824417103,0.07342308149687378,0.11962498253953972,0.14544024775231246,0.16948669897438026,-0.26627214036574093,0.011659936107018919,-0.25918447323805704,-0.23609196563928675,0.031306224691447546,0.3965123572021089,0.17482812576246032,-0.015819965605505883
SecondFloorArea,-0.052085913998582194,0.0184822090517092,0.2516131225581698,0.2583991135686307,0.38261967140893727,-0.11116428893249994,-0.04013304471631069,0.16772149281040652,1.0,0.08296973484342664,-0.0833485868401269,0.1289984322918388,0.8704378644617272,0.06851661489693833,-0.04460834811763511,0.014414895782932476,-0.08082317946373381,-0.08573274529719582,-0.021237656923329892,0.07106800637705185,-0.014987503477641469,-0.01633514673272086,0.07259439714045939,0.05409062994941188,0.08898644632350015,0.1011992599341895,-0.016692195276551546,0.06063400253013455,-0.03163730131367343,-0.007817448629802258,-0.10532341261834599,-0.10268739644428188,0.0374694569071514,0.1309866696716657,0.04950185858740591,-0.003100520913579034
ThirdFloorArea,0.008719427974709074,-0.006842445316800817,0.08911017469624116,0.09540180357835397,0.034097564319399594,0.009836989999718304,-0.01476667436028165,0.001687247334750077,0.08296973484342664,1.0,-0.14671129891887583,-0.020394588048052015,0.0706184443540412,0.6635861437342293,0.0022565168531194103,0.007599572297844643,-0.02584452490819028,-0.002412015557007194,-0.015125271399178025,-0.007613934420268622,-0.005092220692905354,-0.005544314268971161,-0.0032715995842477253,-0.0028682470678601645,0.014644949111460387,-0.001028888837651072,0.01020310640510561,0.021249313371413822,0.03646342808709396,-0.015626399429988756,-0.007435070439938076,-0.007621648037790345,0.021279571995112854,0.08900828408485445,0.0002374303415794989,-0.0011445221860642613
