Category,Subcategory,Item,Detached Cost,Semi-Detached Cost,Mid Terrace Cost,Apartment Cost
Insulation Improvements,Wall Insulation,External Wall Insulation,23500,21737,12900,0
Insulation Improvements,Wall Insulation,Internal Wall Insulation,10000,11000,6139,2950
Insulation Improvements,Wall Insulation,Cavity Insulation,2220,1600,1085,930
Insulation Improvements,Roof Insulation,Roof Insulation,2492,1874,1703,1563
Heating System Upgrades,Heating Controls,Heating Controls,3456,3635,3600,2200
Heating System Upgrades,Heat Pumps,Heat Pump,15600,15705,16500,11500
Heating System Upgrades,Building Energy Rating,Building Energy Rating,260,250,250,245
Renewable Energy Additions,Solar PV Installation,Solar PV 2kWp up to 4kWp,9995,8800,8355,6898
Window & Door Replacements,Windows,Double/Triple Glazing Windows,8000,7500,7000,5000
Window & Door Replacements,Doors,Energy-Efficient Doors,3000,2800,2500,2000
